palavra,count
conta,525
banco,117
ir,93
cooperativa,84
outro,77
taxa,72
ano,65
atendimento,64
encerrar,63
bom,62
nada,60
pagar,59
abrir,56
viacredi,55
conseguir,52
cartao,51
cancelar,50
dia,49
valor,48
credito,47
poder,47
agencia,46
cota,45
ficar,43
todo,43
nunca,42
consigo,38
fechar,37
porque,36
contar,36
precisar,35
vez,35
tempo,35
pedir,35
agora,35
saber,35
dinheiro,34
cobrar,33
emprestimo,33
hoje,33
aplicativo,32
dizer,32
sempre,31
tudo,31
querer,30
tentar,30
pessimo,29
problema,29
usar,29
entrar,29
dar,29
salario,28
nenhum,27
voce,27
empresa,26
gerente,25
estao,25
mes,25
deixar,25
resolver,24
dever,24
limite,24
coisa,23
abri,23
sao,23
algum,23
acessar,23
ver,22
pq,22
cliente,22
extrato,22
atendente,22
acesso,22
receber,22
passar,22
servico,21
cooperado,21
pensar,21
ruim,21
q,20
retorno,19
bem,19
precisei,19
mau,19
assim,18
contato,18
mudar,18
sobre,18
cobranca,18
viacred,18
acabar,17
pessoa,17
ha,17
beneficio,17
onde,17
uso,17
juro,17
solicitar,17
falta,16
resposta,16
esperar,16
somente,16
momento,16
cheque,16
real,15
juridico,15
cooperar,15
trabalhar,15
ajudar,15
falar,15
novo,15
preciso,15
responder,14
ms,14
pj,14
financeiro,14
app,14
oferecer,14
achar,14
motivo,14
especial,14
ultimo,13
logo,13
experiencia,13
grande,13
porem,13
obrigar,13
possivel,13
mil,13
alto,12
atender,12
pouco,12
fiz,12
ai,12
sistema,12
la,12
sair,12
movimentar,12
colocar,12
aprovar,12
desde,12
nome,12
ninguem,11
inclusive,11
dois,11
absurdo,11
nota,11
gostar,11
via,11
qualquer,11
vantagem,11
encerramento,11
pagamento,11
entao,11
alem,11
tambem,11
tirar,10
ligar,10
levar,10
senha,10
algo,10
movimento,10
digital,10
telefone,10
vir,10
tarifa,10
corrente,10
contrato,10
renda,10
gente,9
simples,9
cadastro,9
whatsapp,9
fisico,9
obtive,9
hora,9
infelizmente,9
seguro,9
saldo,9
quase,9
cobranco,9
vcs,9
funcionar,9
enfim,9
pa,9
instituicao,9
semana,9
apenas,9
parcela,9
parar,9
simplesmente,9
antes,9
negar,9
aumentar,9
descontar,9
utilizar,9
tipo,8
proximo,8
opcao,8
quitar,8
atendir,8
forma,8
divida,8
manutencao,8
unico,8
breve,8
pix,8
burocracia,8
informacao,8
pessoalmente,8
situacao,8
presencial,8
rendimento,8
atualizar,8
site,8
investimento,8
pequeno,8
fatura,8
vejor,8
cred,8
continuar,7
otimo,7
enviar,7
horrivel,7
mandar,7
desconto,7
diferente,7
realmente,7
indico,7
liberar,7
ta,7
dificil,7
perdi,7
manter,7
fato,7
tal,7
demorar,7
questao,7
acontecer,7
voces,7
aplicar,7
comecar,7
pegar,7
aceitar,7
mensal,7
explicar,7
capital,7
irei,7
cada,7
produto,7
acordo,7
recebi,7
cair,7
processo,6
existir,6
bloquear,6
procurar,6
atencao,6
tanto,6
atras,6
contratar,6
prestar,6
debito,6
desejar,6
ocorrer,6
aviso,6
to,6
pacote,6
abertura,6
autorizacao,6
disponivel,6
celular,6
primeiro,6
entender,6
comigo,6
online,6
ajuda,6
igual,6
informar,6
voltar,6
acreditar,6
fechamento,6
sacar,6
negociacao,6
aqui,6
trabalho,6
indicar,6
itau,6
sinceramente,6
vario,6
ponto,6
porcaria,6
ns,5
apoio,5
claro,5
depositar,5
pior,5
avisar,5
email,5
novamente,5
certo,5
direto,5
sim,5
menos,5
bancaria,5
devolver,5
mensagem,5
minimo,5
total,5
estarei,5
movimentacao,5
divido,5
monte,5
erro,5
parte,5
fiquei,5
demora,5
relacionamento,5
paguar,5
vontade,5
respeito,5
retornar,5
enquanto,5
basico,5
apos,5
caso,5
surpresa,5
documento,5
devido,5
encerrei,5
terminar,5
conjunto,5
profissional,5
financiamento,5
virar,5
baixar,5
verificar,5
posto,5
sequer,5
informacoes,5
proprio,5
hj,5
cancelamento,5
fim,5
funcionario,4
pessoal,4
conversa,4
instituicoe,4
cortar,4
possuo,4
cnpj,4
tar,4
aparecer,4
indiquei,4
quanto,4
internet,4
trocar,4
c,4
carro,4
atrasar,4
negativo,4
deus,4
gasto,4
suporte,4
passado,4
pretender,4
demais,4
relacao,4
negociar,4
tratamento,4
servir,4
amigo,4
apesar,4
score,4
verdade,4
oportunidade,4
tao,4
cidade,4
vida,4
janeiro,4
usuario,4
totalmente,4
bastante,4
questionar,4
inicio,4
perder,4
gerar,4
conforme,4
puder,4
questionamento,4
chegar,4
mei,4
adiantar,4
alguem,4
direito,4
causa,4
finalizar,4
necessidade,4
contrario,4
data,4
reclamacoes,4
opcoe,4
renegociar,4
olhar,4
aplicacao,4
abusivo,4
questoes,4
final,4
seguinte,4
esposo,4
desempregado,4
dificuldade,4
merda,4
baixo,4
inumero,4
imposto,4
satisfeito,4
nubank,4
praticamente,4
lucro,4
descaso,4
atrativo,4
faltar,4
pre,4
cotacao,3
mal,3
proposta,3
melhorar,3
perguntar,3
esquecer,3
zero,3
possibilidade,3
pratica,3
buscar,3
vc,3
aprovacao,3
whats,3
canal,3
notificacao,3
ve,3
espera,3
tb,3
vo,3
analise,3
reclamar,3
fechei,3
exigir,3
chamar,3
recurso,3
crescer,3
familia,3
aguardar,3
desisti,3
encerrado,3
enrolar,3
parecer,3
liguar,3
financiar,3
pedi,3
avaliar,3
assembleia,3
venho,3
socio,3
roubar,3
adquirir,3
atra,3
comeco,3
incorreto,3
plano,3
limitar,3
qualidade,3
ridiculo,3
ted,3
bla,3
solicitacao,3
diminuir,3
insatisfeito,3
titular,3
valer,3
golpe,3
recorrente,3
retirar,3
recebimento,3
exemplo,3
oferta,3
faco,3
pena,3
tinhamos,3
viver,3
linha,3
pergunta,3
colaborador,3
publico,3
atividade,3
consumidor,3
dado,3
parceiro,3
transtorno,3
epoca,3
desatualizar,3
